movie,year,IMDb,metascore,votes
Logan,2017,8.1,0,886K
Thor: Ragnarok,2017,7.9,0,851K
Guardians of the Galaxy Vol. 2,2017,7.6,0,791K
Dunkirk,2017,7.8,0,770K
Get Out,2017,7.8,0,755K
Spider-Man: Homecoming,2017,7.4,0,754K
Wonder Woman,2017,7.3,0,718K
Blade Runner 2049,2017,8.0,0,710K
Star Wars: Episode VIII - The Last Jedi,2017,6.9,0,693K
 Baby Driver,2017,7.5,0,647K
 Coco,2017,8.4,0,646K
 It,2017,7.3,0,641K
" Three Billboards Outside Ebbing, Missouri",2017,8.1,0,581K
 Money Heist,2017–2021,8.2,0,568K
 John Wick: Chapter 2,2017,7.4,0,538K
 Justice League,2017,6.0,0,491K
 Dark,2017–2020,8.7,0,488K
 Jumanji: Welcome to the Jungle,2017,7.0,0,476K
 The Shape of Water,2017,7.3,0,460K
 Kingsman: The Golden Circle,2017,6.7,0,384K
 Ozark,2017–2022,8.5,0,368K
 Mindhunter,2017–2019,8.6,0,365K
 Pirates of the Caribbean: Salazar's Revenge,2017,6.5,0,364K
 Kong: Skull Island,2017,6.7,0,362K
 Lady Bird,2017,7.4,0,350K
